2013,05,01,30,1,true
2013,05,02,30,1,true
2013,05,03,30,1,true
2013,05,04,30,1,true
2013,05,05,30,1,true
2013,05,06,30,1,true
2013,05,07,30,1,true
2013,05,08,30,1,false
2013,05,09,30,1,true
2013,05,10,30,1,true
2013,05,11,30,1,true
2013,06,01,30,1,true
2013,06,02,30,1,true
2013,06,03,30,1,true
2013,06,04,30,1,true
2013,06,05,30,1,true
2013,06,06,30,1,true
2013,06,07,30,1,true
2013,06,08,30,1,true
2013,06,09,30,1,true
2013,06,10,30,1,true
2013,06,11,30,1,false
2013,06,12,30,1,true
2013,06,13,30,1,true
2013,06,14,30,1,true
2013,06,15,30,1,false
2017,09,05,30,0,true
2017,10,1,60,0,false
2017,10,2,60,0,true
2017,10,3,60,0,false
2017,10,4,60,0,true
2018,00,01,30,0,true
2018,02,01,30,0,true
